month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month
2008-07-01,-1.4316488386308066,37.0,2.79,2.5835135135135134,128.2135135135135,34.0,6.6711,5.018633823529412,153.40477647058822,True
2008-08-01,0.5525545424943012,48.0,2.86,2.574375,156.27291666666667,3.0,4.2824,4.1726833333333335,196.70433333333335,False
2008-09-01,0.6247858617131057,11.0,2.9,2.6281818181818184,136.25454545454545,,,,,False
2008-10-01,-0.1485180139267329,35.0,2.82,2.6077142857142857,192.43714285714287,,,,,True
2008-11-01,0.8712890625000005,44.0,2.75,2.587727272727273,154.26590909090908,,,,,False
2008-12-01,1.744342465753424,19.0,2.81,2.5742105263157895,95.2,,,,,False
2009-01-01,0.7861230706742491,31.0,2.9,2.5900000000000003,123.61935483870967,,,,,False
2009-03-01,-0.43357441471571906,18.0,2.8,2.63,143.45,15.0,5.96333,5.007888666666667,200.7806,True
2009-04-01,-1.3119279493269989,28.0,2.91,2.632142857142857,134.89285714285714,,,,,True
2009-05-01,-1.2490245928880022,26.0,2.81,2.601153846153846,153.37307692307692,38.0,6.29371,4.819736578947368,189.9028157894737,True
2009-06-01,-1.9884649122807023,47.0,2.89,2.617021276595745,145.44255319148937,16.0,6.06686,4.75573125,191.304375,True
2009-07-01,-2.6089208748793826,46.0,3.0,2.6165217391304347,140.16739130434783,8.0,6.04651,4.85318875,201.079625,True
2009-08-01,1.1245147313691517,21.0,2.87,2.587142857142857,74.83333333333333,2.0,4.17256,4.13425,49.479,False
2009-09-01,1.0389445387662695,19.0,2.87,2.5984210526315787,143.3842105263158,,,,,False
2009-10-01,0.6710616563298065,38.0,2.93,2.6315789473684212,174.66842105263157,4.0,4.35975,4.2413875,197.888,False
2009-11-01,1.5856918331374854,38.0,3.01,2.6165789473684207,197.63947368421054,4.0,4.83752,4.4880275,196.7245,False
2009-12-01,1.992029274783766,7.0,2.86,2.6057142857142854,152.78571428571428,13.0,5.5865,4.84191923076923,201.03384615384616,False
2010-01-01,2.5856022566995764,24.0,2.96,2.607083333333333,177.70416666666665,7.0,4.39437,4.1792042857142855,199.17442857142856,False
2010-02-01,1.8680559440559437,17.0,2.78,2.5988235294117645,176.04117647058823,,,,,False
2010-03-01,0.18022118742724075,25.0,2.75,2.5995999999999997,155.348,5.0,4.80555,4.38926,200.7384,False
2010-04-01,0.5131551204819274,39.0,2.84,2.6079487179487177,157.82307692307694,,,,,False
2010-05-01,-2.330974494706448,24.0,2.79,2.5795833333333333,129.59166666666667,20.0,5.551,4.9105565,142.57599499999998,True
2010-06-01,2.734222730241673,35.0,2.78,2.592857142857143,140.48285714285714,11.0,6.03175,4.780141818181819,197.3959090909091,False
2010-07-01,-1.0475000000000008,62.0,2.98,2.608225806451613,155.00322580645164,6.0,4.5638,4.280925,165.85183333333333,True
2010-08-01,-1.9823378264532425,14.0,2.93,2.6435714285714282,130.68571428571428,13.0,5.36001,4.817703846153846,139.06836153846155,True
2010-09-01,-6.091395184135977,37.0,2.99,2.6291891891891894,174.8918918918919,20.0,6.33511,4.6270105,206.72109999999998,True
2010-10-01,0.6354022346368717,22.0,2.82,2.588636363636364,134.9090909090909,11.0,6.01555,4.953525454545455,201.60036363636362,False
2010-11-01,-0.039512065294535444,14.0,2.89,2.6107142857142853,158.1,3.0,4.6591,4.36942,196.58900000000003,True
2010-12-01,1.2979092558983674,22.0,2.9,2.609090909090909,140.99090909090907,5.0,4.2393,4.120334,196.0446,False
2011-01-01,-0.4711050982626036,49.0,2.91,2.5983673469387756,147.01020408163265,4.0,4.5338,4.287365,199.323,True
2011-02-01,0.7446989966555178,22.0,2.94,2.5945454545454543,107.22272727272728,,,,,False
2011-03-01,0.9624052396878494,38.0,3.58,2.616052631578947,164.45000000000002,3.0,4.33372,4.257103333333333,147.65866666666668,False
2011-04-01,-0.41761041666666665,54.0,2.83,2.5964814814814816,138.13888888888889,28.0,6.14042,5.158911428571429,200.4600714285714,True
2011-05-01,-0.3530827447023213,11.0,2.72,2.6,71.82727272727273,6.0,5.30126,5.082915,205.94583333333333,True
2011-06-01,-0.36833534743202406,39.0,2.83,2.588205128205128,157.34615384615384,10.0,6.54737,4.99667,200.55360000000002,True
2011-07-01,-0.5105608793686583,46.0,2.96,2.6432608695652173,154.35652173913041,18.0,5.43572,4.830773333333333,194.05405555555555,True
2011-08-01,-0.09815671031096532,32.0,2.91,2.6284375,178.128125,35.0,6.23964,4.971709714285714,181.6112857142857,True
2011-09-01,-4.125006969612491,25.0,2.8,2.5971999999999995,161.584,14.0,4.99633,4.559035714285715,198.88757142857142,True
2011-10-01,-0.9221324324324323,31.0,3.33,2.6229032258064517,113.1,9.0,4.89844,4.533315555555556,121.67924444444445,True
2011-11-01,0.4905276816608999,23.0,2.91,2.5904347826086958,146.5304347826087,12.0,6.64762,5.062920833333333,202.44299999999998,False
2011-12-01,1.3437253731343286,21.0,2.8,2.587142857142857,77.38095238095238,,,,,False
2012-01-01,-0.47843723673125554,30.0,2.89,2.5863333333333336,166.83666666666667,4.0,4.52528,4.3059925,203.60925,True
2012-02-01,0.2451756051257706,20.0,2.74,2.584,113.44500000000001,1.0,4.27357,4.27357,203.749,False
2012-03-01,5.756565333333334,22.0,3.84,2.641363636363636,133.95000000000002,8.0,4.40233,4.179565,196.06212499999998,False
2012-04-01,-1.7795782881002096,29.0,2.96,2.6448275862068966,110.8,5.0,4.73573,4.329896,207.41620000000003,True
2012-05-01,-1.5116447184085173,16.0,2.71,2.56125,151.54375,13.0,5.92312,5.091356923076924,202.69823076923078,True
2012-06-01,-1.9208241599073,33.0,2.76,2.5733333333333333,157.4727272727273,54.0,8.01007,5.303853888888889,193.85364814814815,True
2012-07-01,-2.710585260115608,28.0,2.72,2.5746428571428575,136.2,3.0,4.25522,4.1326600000000004,64.91916666666667,True
2012-08-01,0.3626140012845222,15.0,2.83,2.6253333333333333,99.00666666666666,5.0,4.22502,4.14165,122.86032,False
2012-09-01,0.0028185328185323785,15.0,2.81,2.6013333333333333,169.41333333333333,10.0,4.89788,4.637086999999999,202.74349999999998,False
2012-10-01,2.6480903790087456,18.0,3.25,2.6555555555555554,168.23333333333332,13.0,4.79914,4.4735123076923085,198.92746153846153,False
2012-11-01,-1.2398633184996821,21.0,2.77,2.6123809523809522,184.5095238095238,1.0,4.10688,4.10688,198.106,True
2012-12-01,4.293584758942457,2.0,2.58,2.55,130.9,1.0,4.12644,4.12644,190.059,False
2013-01-01,2.484168666438121,16.0,2.82,2.6149999999999998,136.2375,,,,,False
2013-02-01,-1.2989887640449413,17.0,2.86,2.6088235294117648,172.64705882352942,4.0,4.45501,4.40234,203.47775000000001,True
2013-04-01,-0.014092684659090592,14.0,2.93,2.6214285714285714,131.47857142857143,1.0,4.13265,4.13265,99.3552,True
2013-05-01,-0.7418775966762543,24.0,2.79,2.57125,165.03333333333333,13.0,5.87157,4.792174615384615,189.88653846153846,True
2013-06-01,0.31336484198645553,27.0,2.72,2.5681481481481483,103.84814814814816,28.0,6.67994,5.188677857142857,147.24636428571426,False
2013-07-01,-0.6464011220196354,21.0,3.0,2.625238095238095,190.34761904761905,8.0,5.19218,4.6667075,185.7155,True
2013-08-01,-1.0482512315270933,35.0,2.88,2.596,111.71142857142857,,,,,True
2013-09-01,-0.7524993026499303,20.0,2.73,2.596,168.91500000000002,12.0,5.69163,4.631844166666666,198.00566666666668,True
2013-10-01,0.8061373150990789,10.0,2.85,2.62,135.25,,,,,False
2013-11-01,0.45552493896058643,24.0,2.72,2.59125,154.67916666666667,,,,,False
2013-12-01,1.383663101604278,12.0,2.95,2.645,159.375,,,,,False
2014-01-01,0.5980673934588701,22.0,2.94,2.583181818181818,166.61818181818182,16.0,6.8356,5.321725,200.963375,False
2014-02-01,0.19304274654998257,11.0,3.13,2.645454545454545,150.07272727272726,,,,,False
2014-03-01,1.018085284280937,22.0,2.88,2.5904545454545453,103.57727272727271,21.0,8.51956,5.842019523809524,168.78316666666666,False
2014-04-01,0.5614649147330162,35.0,3.01,2.6117142857142857,120.52285714285715,14.0,6.10129,5.05676,110.33442857142857,False
2014-05-01,-0.8585901365282808,21.0,2.75,2.6133333333333333,140.51904761904763,12.0,5.65691,4.820367500000001,176.45054166666668,True
2014-06-01,-0.5835810306198657,31.0,2.81,2.595806451612903,159.58387096774194,12.0,5.6719,4.869761666666666,187.14754166666668,True
2014-07-01,-1.2005942492012778,46.0,3.89,2.6371739130434784,131.02391304347827,24.0,5.75022,4.551250416666666,170.92197083333335,True
2014-08-01,0.2943818181818183,21.0,3.52,2.6419047619047618,183.1904761904762,23.0,8.71274,5.63212,202.54217391304348,False
2014-09-01,-0.5634397657557163,20.0,3.06,2.6425,153.245,6.0,6.31625,5.525823333333332,200.552,True
2014-10-01,-0.8043767398700897,27.0,2.74,2.578148148148148,185.3,13.0,5.13255,4.505225384615384,204.52984615384614,True
2014-11-01,0.8363859453430005,11.0,2.81,2.609090909090909,185.47272727272727,5.0,4.47858,4.302874,202.8086,False
2014-12-01,0.7201623169955438,15.0,2.73,2.5813333333333333,157.9,,,,,False
2015-01-01,1.522319649864172,16.0,2.78,2.5675,69.8,,,,,False
2015-02-01,0.5879322364751807,20.0,2.79,2.5759999999999996,199.70999999999998,11.0,5.04414,4.543825454545455,202.39118181818182,False
2015-03-01,-0.48262402969962903,12.0,2.83,2.61,117.64166666666667,19.0,5.35376,4.692521578947368,137.9217210526316,True
2015-04-01,0.8756716110424398,23.0,2.87,2.6256521739130436,104.27826086956522,32.0,8.29688,5.8064543749999995,194.18684375,False
2015-05-01,-1.145879319955407,38.0,3.07,2.6115789473684208,177.86315789473684,39.0,8.13159,5.8091566666666665,194.42453846153845,True
2015-06-01,-1.2788395616746278,32.0,2.95,2.6121875,174.915625,34.0,7.28717,4.8846605882352945,201.9605588235294,True
2015-07-01,-1.9228810461192338,23.0,2.94,2.6247826086956523,123.91304347826087,28.0,6.91288,5.060347857142857,199.0170357142857,True
2015-08-01,-0.6063327948303723,54.0,2.83,2.5855555555555556,149.63518518518518,5.0,4.15794,4.072564,113.67882,True
2015-09-01,-2.345641330166271,28.0,3.16,2.632142857142857,152.38214285714284,19.0,7.18124,5.301466315789473,186.72626315789475,True
2015-10-01,-0.24658539983282207,63.0,3.05,2.6077777777777778,195.9714285714286,6.0,6.89395,5.166458333333334,209.07216666666667,True
2015-11-01,1.4784442649434566,19.0,2.88,2.6321052631578947,172.18421052631578,5.0,5.13546,4.866524,201.3708,False
2015-12-01,1.5820666273584902,29.0,2.88,2.597931034482759,143.59310344827585,2.0,4.41872,4.40312,201.6135,False
2016-01-01,0.10985710282992474,37.0,2.87,2.596216216216216,160.82702702702704,8.0,6.15918,4.81714,204.117625,False
2016-02-01,0.7017112676056333,4.0,2.75,2.6425,122.44999999999999,3.0,4.31822,4.255916666666667,45.7828,False
2016-03-01,1.510292713967547,28.0,3.21,2.6224999999999996,143.04285714285714,9.0,6.39859,4.892147777777778,138.35219999999998,False
2016-04-01,1.6160309278350518,11.0,2.69,2.5545454545454547,197.5,4.0,5.45437,4.7924050000000005,201.10475,False
2016-05-01,-0.31643494009473383,21.0,2.86,2.5985714285714288,159.93809523809523,17.0,5.43137,4.705455294117647,202.86417647058823,True
2016-06-01,-1.0890774391948561,36.0,2.85,2.594444444444444,187.16944444444445,,,,,True
2016-07-01,-0.6364056840345502,59.0,3.06,2.603728813559322,158.26779661016948,20.0,5.53182,4.6311695,167.68060499999999,True
2016-08-01,-0.1046365669555492,65.0,3.03,2.632307692307692,120.60307692307693,3.0,4.52966,4.317013333333333,195.25633333333334,True
2016-09-01,0.06373641682920021,37.0,3.04,2.603783783783784,161.1216216216216,11.0,7.23255,5.935892727272727,188.14309090909092,False
2016-10-01,0.28600306492059097,13.0,2.88,2.600769230769231,185.83076923076925,,,,,False
2016-11-01,-0.2978107714701603,18.0,2.76,2.582777777777778,183.07777777777778,4.0,4.23056,4.10508,173.56324999999998,True
2016-12-01,-0.27974140341067916,24.0,2.88,2.6533333333333333,122.2,3.0,4.48702,4.294906666666667,202.45166666666668,True
2017-01-01,1.0884424630816378,24.0,3.88,2.6629166666666664,147.04583333333332,26.0,5.85015,5.002788076923077,163.84070384615384,False
2017-02-01,1.0585368217054265,28.0,2.73,2.569642857142857,80.10714285714286,,,,,False
2017-03-01,0.2174647035094794,40.0,2.82,2.59675,177.64249999999998,,,,,False
2017-04-01,-1.8717716754948424,49.0,3.0,2.603673469387755,139.04897959183674,21.0,5.88992,4.844917619047619,143.67480952380953,True
2017-05-01,-0.3149703459637556,22.0,2.71,2.5945454545454543,181.24545454545455,21.0,7.80872,5.613665714285714,200.6527619047619,True
