month,whacs_storm_count,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,month_str
2011-10-01,1786344,4.96,1.7482037078235075,141.61419818316648,106761,2011-01-10
2011-11-01,1728715,7.684,1.8624923951891472,154.0509994671903,139680,2011-01-11
2011-12-01,1786344,4.322,1.5657052210789766,121.30696642102336,80293,2011-01-12
2012-01-01,1786339,5.156,1.8037000857434184,159.56100783277714,143319,2012-01-01
2012-02-01,1671091,5.68,1.634546725128815,147.95087160622276,44828,2012-01-02
2012-03-01,1786344,5.794,1.841704903596589,152.1826904894327,123668,2012-01-03
2012-04-01,1728715,5.882,1.6060755536132283,133.89650177503458,61256,2012-01-04
2012-05-01,1786339,6.958,2.0673607258106568,152.5571461180601,215353,2012-01-05
2012-06-01,1728715,9.596,2.519919037356322,166.32227586206898,342908,2012-01-06
2012-07-01,1786339,4.93,1.8388142427595637,125.23633873481376,109409,2012-01-07
2012-08-01,1786339,4.966,1.7450772154245457,113.36062453652207,117572,2012-01-08
2012-09-01,1728715,6.464,1.7642261651470614,137.73319524182975,124025,2012-01-09
2012-10-01,1786339,6.62,2.0628922622358177,177.5520278318502,248560,2012-01-10
2012-11-01,1728715,5.234,1.6373725465310498,163.6739730242638,117879,2012-01-11
2012-12-01,1786339,4.43,1.4198673912413748,130.8686283870295,34350,2012-01-12
2013-01-01,1786339,5.314,1.57472259094638,114.66865437826463,82414,2013-01-01
2013-02-01,1613472,4.708,1.5946656429597703,145.08686691810345,69869,2013-01-02
2013-03-01,1786339,5.876,1.5309967463848722,140.60029546718576,55143,2013-01-03
2013-04-01,1728720,4.042,1.632482962164751,154.80206920498085,81921,2013-01-04
2013-05-01,1786339,6.122,2.041031734481528,169.47860425289326,196298,2013-01-05
2013-06-01,1728720,9.014,2.4276080435823753,140.01478316570882,313670,2013-01-06
2013-07-01,1786339,5.89,1.812322547752988,163.57136060530567,144675,2013-01-07
2013-08-01,1786344,4.816,1.807899487856878,112.81351976733407,144647,2013-01-08
2013-09-01,1728715,7.536,1.8949650191570881,153.8282943007663,183698,2013-01-09
2013-10-01,1786344,6.63,1.5431870689655174,149.85981878012606,73353,2013-01-10
2013-11-01,1728715,3.44,1.502984051724138,133.88403400383143,21877,2013-01-11
2013-12-01,1786339,5.49,1.5171364892501462,132.14825238837358,50883,2013-01-12
2014-01-01,1786339,7.446,1.9888419778062816,153.3110359115542,195358,2014-01-01
