month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month,storm_type,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,whacs_storm_count
2006-01-09,-0.2517363433667779,23.0,2.79,2.591304347826087,212.0173913043478,,,,,True,1,5.232,1.6971238118044287,161.1728563988051,150732.0,1728715.0
2006-01-10,-0.439712931995541,56.0,3.06,2.6019642857142857,153.60892857142858,5.0,6.12674,4.943828,207.2694,True,1,7.138,2.0954081433073783,167.59572626992954,259552.0,1786339.0
2006-01-11,1.632125940373363,21.0,2.73,2.559047619047619,144.75714285714287,,,,,False,1,5.366,1.7167142744252877,171.3319852729885,117105.0,1728715.0
2006-01-12,0.5658263358778626,16.0,2.89,2.641875,194.33125,16.0,5.06983,4.522395,187.644,False,1,5.952,1.7636440837041156,153.71093935391175,121231.0,1786339.0
2007-01-01,2.232025633881304,13.0,2.75,2.56,108.49230769230768,,,,,False,0,3.394,1.3912214007047206,144.19808038357567,12665.0,1786339.0
2007-01-02,0.1481457716354072,25.0,2.79,2.6004,170.14,,,,,False,1,4.528,1.6492186242816091,152.8642317066913,93649.0,1613472.0
2007-01-03,-0.2609182049649898,17.0,3.11,2.6429411764705883,183.81764705882352,,,,,True,1,7.706,1.6321258280371016,155.94576465612636,90091.0,1786339.0
2007-01-04,0.6099426751592348,33.0,2.79,2.56969696969697,188.4969696969697,14.0,6.3072,5.128153571428571,200.71235714285717,False,1,7.094,1.933598158524904,174.2477684386973,171122.0,1728720.0
2007-01-05,-1.8190206812652068,25.0,3.03,2.6384,186.348,5.0,4.40317,4.196484,199.5874,True,1,6.744,1.767161938971189,154.13696593996767,137780.0,1786339.0
2007-01-06,0.0456405629736555,26.0,3.02,2.6384615384615384,136.18076923076922,44.0,6.63343,5.336934545454546,197.55937045454547,False,0,8.116,2.3608533381226056,155.95963194444442,256118.0,1728720.0
2007-01-07,0.6441863738738739,20.0,2.76,2.609,159.33999999999995,4.0,4.80596,4.51394,98.289325,False,1,4.976,1.7109829718205414,153.20509014645904,100437.0,1786339.0
2007-01-08,0.0177128547579308,27.0,2.7,2.568888888888889,125.88148148148149,2.0,4.15012,4.077775,198.5695,False,0,5.618,1.802757957916203,155.5373356970708,136574.0,1786344.0
2007-01-09,-1.839814245810056,23.0,2.8,2.608260869565217,189.58695652173915,,,,,True,1,4.58,1.6355867087804328,146.65022796989456,72809.0,1728715.0
2007-01-10,-2.322920502092052,42.0,3.12,2.6323809523809523,170.38333333333335,15.0,4.98612,4.3775173333333335,202.70453333333336,True,1,6.26,1.9548762745643309,172.1394291110493,199799.0,1786344.0
2007-01-11,-0.8314712153518113,14.0,2.89,2.6292857142857144,198.97142857142856,2.0,4.16226,4.12324,195.4985,True,1,5.456,1.540968145163704,157.83715886709092,89984.0,1728715.0
