month,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir
2009-11-01,38,3.01,2.6165789473684207,197.63947368421054
2009-12-01,7,2.86,2.6057142857142854,152.78571428571428
2010-01-01,24,2.96,2.607083333333333,177.70416666666665
2010-02-01,17,2.78,2.5988235294117645,176.04117647058823
2010-03-01,25,2.75,2.5995999999999997,155.348
2010-04-01,39,2.84,2.6079487179487177,157.82307692307694
2010-05-01,24,2.79,2.5795833333333333,129.59166666666667
2010-06-01,35,2.78,2.592857142857143,140.48285714285714
2010-07-01,62,2.98,2.608225806451613,155.00322580645164
2010-08-01,14,2.93,2.6435714285714282,130.68571428571428
2010-09-01,37,2.99,2.6291891891891894,174.8918918918919
2010-10-01,22,2.82,2.588636363636364,134.9090909090909
2010-11-01,14,2.89,2.6107142857142853,158.1
2010-12-01,22,2.9,2.609090909090909,140.99090909090907
2011-01-01,49,2.91,2.5983673469387756,147.01020408163265
2011-02-01,22,2.94,2.5945454545454543,107.22272727272728
2011-03-01,38,3.58,2.616052631578947,164.45000000000002
2011-04-01,54,2.83,2.5964814814814816,138.13888888888889
2011-05-01,11,2.72,2.6,71.82727272727273
2011-06-01,39,2.83,2.588205128205128,157.34615384615384
2011-07-01,46,2.96,2.6432608695652173,154.35652173913041
2011-08-01,32,2.91,2.6284375,178.128125
2011-09-01,25,2.8,2.5971999999999995,161.584
2011-10-01,31,3.33,2.6229032258064517,113.1
2011-11-01,23,2.91,2.5904347826086958,146.5304347826087
2011-12-01,21,2.8,2.587142857142857,77.38095238095238
2012-01-01,30,2.89,2.5863333333333336,166.83666666666667
2012-02-01,20,2.74,2.584,113.44500000000001
2012-03-01,22,3.84,2.641363636363636,133.95000000000002
2012-04-01,29,2.96,2.6448275862068966,110.8
2012-05-01,16,2.71,2.56125,151.54375
2012-06-01,33,2.76,2.5733333333333333,157.4727272727273
2012-07-01,28,2.72,2.5746428571428575,136.2
2012-08-01,15,2.83,2.6253333333333333,99.00666666666666
2012-09-01,15,2.81,2.6013333333333333,169.41333333333333
2012-10-01,18,3.25,2.6555555555555554,168.23333333333332
2012-11-01,21,2.77,2.6123809523809522,184.5095238095238
2012-12-01,2,2.58,2.55,130.9
2013-01-01,16,2.82,2.6149999999999998,136.2375
2013-02-01,17,2.86,2.6088235294117648,172.64705882352942
2013-03-01,19,2.89,2.6178947368421053,176.17894736842106
2013-04-01,14,2.93,2.6214285714285714,131.47857142857143
2013-05-01,24,2.79,2.57125,165.03333333333333
2013-06-01,27,2.72,2.5681481481481483,103.84814814814816
2013-07-01,21,3.0,2.625238095238095,190.34761904761905
2013-08-01,35,2.88,2.596,111.71142857142857
2013-09-01,20,2.73,2.596,168.91500000000002
2013-10-01,10,2.85,2.62,135.25
2013-11-01,24,2.72,2.59125,154.67916666666667
2013-12-01,12,2.95,2.645,159.375
2014-01-01,22,2.94,2.583181818181818,166.61818181818182
2014-02-01,11,3.13,2.645454545454545,150.07272727272726
2014-03-01,22,2.88,2.5904545454545453,103.57727272727271
2014-04-01,35,3.01,2.6117142857142857,120.52285714285715
2014-05-01,21,2.75,2.6133333333333333,140.51904761904763
2014-06-01,31,2.81,2.595806451612903,159.58387096774194
2014-07-01,46,3.89,2.6371739130434784,131.02391304347827
2014-08-01,21,3.52,2.6419047619047618,183.1904761904762
